Course,Title,Program,Quantitative Reasoning,Scientific Inquiry,Artistic Process,Social Inequality,Cultural Differences,Ethical Judgment
ARTH 237,Princely Art,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 241,Performance & Installation Art,Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 248,Love & Death in Ancient Egypt,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 249,Islamic Art & Architecture,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 250,Modern Art 1900-1960,Art and Architecture,,,,,Substantially,
ARTH 252,Japanese Art and Culture,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 253,Buddhist Art & Architecture,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 254,Islamic Crossroads,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 259,Early Chinese Painting,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 270,Early Medieval Art,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 303,Gender and Painting in China,Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 315,Art and the Senses,Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 332,"Roman Art,Architecture&Power",Art and Architecture,,Partially,,Partially,Substantially,
ARTH 333,Art Since 1960,Art and Architecture,,,,,Substantially,
ARTH 336,Landscapes and Gardens,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 380,Art of the Pilgrimmage Roads,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 403,Gender and Painting in China,Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 415,Art and the Senses,Art and Architecture,,Substantially,,Substantially,Substantially,
ARTH 432,"Roman Art,Architecture&Power",Art and Architecture,,Partially,,Partially,Substantially,
ARTH 433,Art Since 1960,Art and Architecture,,,,,Substantially,
ARTH 436,Landscapes & Gardens,Art and Architecture,,Partially,,Partially,Substantially,
ARTH 480,Art of the Pilgrimmage Roads,Art and Architecture,,Partially,,Partially,Substantially,
ARTS 105,Color & Composition,Art and Architecture,,,Substantially,,,
ARTS 114,Intro. to Sculpture,Art and Architecture,,,Substantially,,,
ARTS 115,Three Dimensional Design,Art and Architecture,,,Substantially,,,
ARTS 125,Intro. to Drawing,Art and Architecture,,,Substantially,,,
ARTS 165,Introduction to Imaging,Art and Architecture,,,Substantially,,,
ARTS 166,Video Art,Art and Architecture,,,Substantially,,,
ARTS 203,Representational Painting,Art and Architecture,,,Substantially,,,
ARTS 204,Abstract Painting,Art and Architecture,,,Substantially,,,
ARTS 207,Photo and Print,Art and Architecture,,,Substantially,,,
ARTS 209,Watercolor Painting,Art and Architecture,,,Substantially,,,
ARTS 210,Berlin: Politics Memory&Space,Art and Architecture,,Partially,Substantially,Partially,Partially,
ARTS 214,Metal Sculpture,Art and Architecture,,,Substantially,,,
ARTS 215,Italian Figure Sculpture,Global Education,,,Substantially,,,
ARTS 216,Process and Design: Furniture,Art and Architecture,,,Substantially,,,
ARTS 225,Life Drawing,Art and Architecture,,,Substantially,,,
ARTS 227,Advanced Drawing,Art and Architecture,,,Substantially,,,
ARTS 231,You Are Here,Global Education,,,Substantially,,,
ARTS 245,Photo Screenprinting,Art and Architecture,,,Substantially,,,
ARTS 246,Intaglio Printing,Art and Architecture,,,Substantially,,,
ARTS 248,Woodcut Printing,Art and Architecture,,,Substantially,,,
ARTS 261,Physical & Material,Art and Architecture,,,Substantially,,,
ARTS 262,Experimental Animation,Art and Architecture,,,Substantially,,,
ARTS 265,Intermediate Imaging,Art and Architecture,,,Substantially,,,
ARTS 266,*Intermediate Video II,Art and Architecture,,,Substantially,,,
ARTS 272,Visualizing Oral History,Art and Architecture,,Partially,Substantially,Partially,,Partially
ARTS 274,Photographic Book Design,Art and Architecture,,,Substantially,,,
ARTS 305,Painting Workshop,Art and Architecture,,,Substantially,,,
ARTS 315,Sculpture Workshop,Art and Architecture,,,Substantially,,,
ARTS 345,Printmaking Workshop,Art and Architecture,,,Substantially,,,
ARTS 365,Imaging Workshop,Art and Architecture,,,Substantially,,,
ARTS 480,Studio Art  Senior Seminar,Art and Architecture,,,Partially,,,
ASN 101,Trekking through Asia,Asian Languages and Culture,,Partially,,Partially,Partially,Partially
ASN 102,Ottoman Worlds,Asian Languages and Culture,,Partially,,Partially,Substantially,
ASN 103,Introduction to Asian Art,Asian Languages and Culture,,Partially,,Partially,Substantially,
ASN 110,Himalayan Challenges,Asian Languages and Culture,,,,,Substantially,
ASN 115,Imagining Asian Religion/s,Asian Languages and Culture,,Partially,,Partially,Substantially,Partially
ASN 120,Making of the Samurai,Asian Languages and Culture,,Partially,,Partially,Partially,Partially
ASN 125,Japan: Supernatural Beings,Asian Languages and Culture,,,Partially,,Substantially,
ASN 130,Introduction to Chinese Lit,Asian Languages and Culture,,Partially,,Partially,Substantially,Partially
ASN 209,Golden Age Chinese Culture,Asian Languages and Culture,,Partially,,Partially,Substantially,
ASN 210,Buddhism&Taoism Through Chin L,Asian Languages and Culture,,,,,Substantially,Substantially
ASN 211,Buddhism,Asian Languages and Culture,,Partially,,Partially,Substantially,
ASN 212,Women in Contemp.Chinese Cultu,Asian Languages and Culture,,Substantially,,Substantially,Substantially,
ASN 215,Environ. & Develop. in E Asia,Asian Languages and Culture,,Partially,,Partially,Substantially,
ASN 225,Tibetan Buddhism,Asian Languages and Culture,,,,,Partially,Partially
ASN 231,Tibetan Mandala Painting,Asian Languages and Culture,,,Substantially,,Substantially,
ASN 236,Contemporary China,Asian Languages and Culture,,Substantially,,Substantially,Substantially,
ASN 242,Riding with Genghis Khan,Asian Languages and Culture,,Partially,,Partially,Partially,Partially
ASN 296,China and the U.S.,Asian Languages and Culture,,Substantially,,Substantially,Substantially,
ASN 305,Showa Through the SilverScreen,Asian Languages and Culture,,Partially,,Partially,Partially,Partially
ASN 340,Water & Energy in China,Asian Languages and Culture,,Partially,,Partially,Substantially,
ASN 342,Sem: Chinese Cinema,Asian Languages and Culture,,Substantially,,Substantially,Substantially,
ATMO 245,Climate Change Science,Geoscience,Substantially,,,,,
ATMO 260,Weather Analysis,Geoscience,Partially,,,,,
AUST 221,Food Culture Land Australia,Global Education,,,,,Substantially,
AUST 235,Introduction to Urban Ecology,Global Education,,,Partially,,,Partially
AUST 245,Global ClimateChg-Australasian,Conversion,,,,,,
BIDS 120,Russia and the Environment,Hobart and William Smith,,Partially,,Partially,Substantially,Partially
BIDS 200,Dialogues in Critical Soc Stud,Hobart and William Smith,,Substantially,,Substantially,,
BIDS 203,The Art + Science Graphical,Hobart and William Smith,Partially,,Substantially,,,
BIDS 204,Art History/Chem in Museums,Hobart and William Smith,,,Partially,,Partially,
BIDS 207,Contemporary Amer. Cities,Hobart and William Smith,,Substantially,,Substantially,,Partially
BIDS 214,The Politics of Reproduction,Hobart and William Smith,,Partially,,Partially,,
BIDS 219,Imagining Apocalypse,Hobart and William Smith,,Partially,,Partially,Partially,Substantially
BIDS 233,Digital Rome,Hobart and William Smith,,Substantially,,Substantially,,
BIDS 235,Frantz Fanon the Revolutionary,Hobart and William Smith,,Substantially,,Substantially,Partially,Partially
BIDS 245,Men and Masculinity,Hobart and William Smith,,Substantially,,Substantially,Partially,Partially
BIDS 251,Sovereignty Power & the People,Hobart and William Smith,,,,,Substantially,Substantially
BIDS 284,"Women,Work & Media",Hobart and William Smith,,Substantially,,Substantially,,
BIDS 289,Picture It!,Hobart and William Smith,,,Substantially,,Partially,Partially
BIDS 293,Racial Utopias,Hobart and William Smith,,Substantially,,Substantially,,Substantially
BIDS 295,Alcohol Use & Abuse,Hobart and William Smith,,,,,,
BIDS 325,Creative Placemaking,Hobart and William Smith,,Partially,Partially,Partially,Partially,
BIDS 335,"Pandemics, Race & Colonialism",Hobart and William Smith,,Substantially,,Substantially,Partially,Substantially
BIDS 390,The Video Essay,Hobart and William Smith,,Partially,Substantially,Partially,,
BIOL 150,Topics in Biology:,Biology,,,,,,
BIOL 160,Nutrition,Biology,,,,,,
BIOL 167,Intro Topics:,Biology,,,,,,
BIOL 170,Urban Ecology,Biology,Partially,,,,,
BIOL 212,Biostatistics,Biology,Substantially,,,,,
BIOL 215,Evolutionary Genetics,Biology,Partially,,,,,
BIOL 220,General Genetics,Biology,,,,,,
BIOL 222,Microbiology,Biology,,,,,,
BIOL 224,Anatomy,Biology,,,,,,
BIOL 225,Ecology,Biology,Substantially,,,,,
BIOL 227,Behavioral Ecology,Biology,,,,,,
BIOL 228,The Biology of Plants,Biology,Partially,,,,,
BIOL 232,Cell Biology,Biology,,,,,,
BIOL 233,General Physiology,Biology,,,,,,
BIOL 234,Vertebrate Biology,Biology,,,,,,
BIOL 236,Evolutionary Analysis,Biology,,,,,,
BIOL 238,Aquatic Biology,Biology,,,,,,
BIOL 240,Global Change Biology,Biology,,,,,,
BIOL 302,Immunology,Biology,,,,,,
BIOL 315,Adv. Topics in Biology,Biology,,,,,,
BIOL 316,Conservation Biology,Biology,Substantially,,,,,
BIOL 324,Anatomy,Biology,,,,,,
BIOL 325,Invasion Ecology,Biology,,,,,,
BIOL 340,Neurobiology,Biology,,,,,,
BIOL 341,Developmental Biology,Biology,,,,,,
BIOL 356,Ornithology,Biology,,,,,,
BIOL 380,Genomics,Biology,,,,,,
BIOL 460,Biology Seminar,Biology,,,,,,
CHEM 101,Cool Chemistry,Chemistry,Partially,,,,,
CHEM 102,Forensic Science,Chemistry,,,,,,
CHEM 110,Intro. General Chemistry,Chemistry,Substantially,,,,,
CHEM 120,Interm. General Chemistry,Chemistry,Substantially,,,,,
CHEM 130,General Chemistry I and II Lab,Chemistry,Substantially,,,,,
CHEM 148,Nutrition,Chemistry,,,,,,
CHEM 190,Accelerated General Chemistry,Chemistry,Substantially,,,,,
CHEM 198,Miracle Drugs in the Time of P,Chemistry,Partially,,,,,
CHEM 199,Intro Fermentation Sci,Chemistry,,,,,,
CHEM 210,Quantitative Analysis,Chemistry,Substantially,,,,,
CHEM 240,Organic Chemistry I,Chemistry,Substantially,,,,,
CHEM 241,Organic Chemistry II,Chemistry,Substantially,,,,,
CHEM 248,Biochemical Foundations,Chemistry,,,,,,
CHEM 302,Forensic Science,Chemistry,Substantially,,,,,Partially
CHEM 304,Bonding with Food,Chemistry,,,,,,Partially
CHEM 308,Chemistry of Art,Chemistry,Partially,,,,,
CHEM 318,Inorganic Chemistry I,Chemistry,Substantially,,,,,
CHEM 320,Physical Chemistry I,Chemistry,Substantially,,,,,
CHEM 326,Advanced  Topics in Chemistry,Chemistry,Substantially,,,,,
CHEM 360,Junior Seminar,Chemistry,,,,,,
CHEM 361,Junior Seminar,Chemistry,,,,,,
CHEM 460,Senior Seminar,Chemistry,,,,,,
CHEM 461,Senior Seminar,Chemistry,,,,,,
CHEM 470,Senior Seminar,Chemistry,,,,,,
CHIL 155,Stargazers & Dreamers in Chile,Global Education,,,,,Substantially,
CHIN 101,Beginning Chinese I,Chinese,,,,,Substantially,
CHIN 102,Beginning Chinese II,Chinese,,,,,Substantially,
CHIN 201,Intermediate Chinese I,Chinese,,,,,Partially,
CHIN 202,Intermediate Chinese II,Chinese,,,,,Partially,
CHIN 301,Advanced Chinese I,Chinese,,,,,Partially,
CHIN 302,Advanced Chinese II,Chinese,,,,,Partially,
CLAS 108,Greek Tragedy,Classics,,,Partially,,Substantially,Partially
CLAS 112,Classical Myths,Classics,,,,,Substantially,
CLAS 125,Greek & Roman Religion,Classics,,,,,Substantially,
CLAS 175,Topics:,Classics,,,,,Substantially,
CLAS 202,Athens-Age of Pericles,Classics,,Partially,,Partially,Substantially,Partially
CLAS 209,Alexander the Great,Classics,,Partially,,Partially,Substantially,Partially
CLAS 210,Ancient Astronomy,Classics,Substantially,,,,Substantially,
CLAS 213,Ancient Comedy,Classics,,,,,Substantially,
CLAS 228,Classical Epic,Classics,,,,,Substantially,
CLAS 230,Gender &Sexuality in Antiquity,Classics,,Substantially,,Substantially,Substantially,
CLAS 240,Classics in Cinema,Classics,,Partially,,Partially,Substantially,
CLAS 251,The Romans: Republic to Empire,Classics,,Partially,,Partially,Substantially,Partially
CLAS 275,Topics:,Classics,,,,,Substantially,
CLAS 281,Fall of the Roman Empire,Classics,,Partially,,Partially,Substantially,
CLAS 290,Ancient Law & Morality,Classics,,,,,Substantially,Partially
CLAS 310,Sparta:Greece'sWarrior Society,Classics,,Partially,,Partially,Substantially,
CLAS 320,Jesus to Constantine,Classics,,,,,Substantially,
CLAS 330,Greek Archaeology,Classics,,,,,Substantially,
CLAS 460,Senior Seminar in Classics,Classics,,Partially,,Partially,Substantially,Partially
CMST 200,Indigenous Arts,Hobart and William Smith,,Substantially,,Substantially,Substantially,
CMST 300,Capstone Experience,Hobart and William Smith,,Substantially,,Substantially,Partially,
COST 210,Psych of Consumerism,Global Education,,Substantially,,Substantially,Substantially,
CPSC 229,Foundations of Computation,Math & Computer Science,Substantially,,,,,
CPSC 310,Computational Neuroscience,Math & Computer Science,Substantially,,,,,
CPSC 327,Data Structures & Algorithms,Math & Computer Science,Substantially,,,,,
CSQS 101,Introduction to LGBT Studies,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
CSQS 202,Sex Histories,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
CSQS 204,Sexuality & Disability,Lesbian Gay & Bisexual,,Substantially,,Substantially,,
CSQS 205,Queer & Trans Social Movements,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Substantially
CSQS 206,Sexuality and Space,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Substantially
CSQS 209,Queer of Color Critique,Lesbian Gay & Bisexual,,Substantially,,Substantially,Substantially,
CSQS 251,"Sex Power,&Creat'vity Rus Lit",Lesbian Gay & Bisexual,,Partially,,Partially,Substantially,Partially
CSQS 302,Trans*Feminisms,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Substantially
CSQS 303,Diversity Capitalism,Lesbian Gay & Bisexual,,Substantially,,Substantially,,
CSQS 306,Sexuality and Space,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Substantially
CSQS 310,Queer Theory and Methods,Lesbian Gay & Bisexual,,Substantially,,Substantially,Substantially,Partially
CSQS 403,Capstone: Queer Theory,Lesbian Gay & Bisexual,,Substantially,,Substantially,,Partially
DAN 100,Introduction to Dance,Dance,,,Substantially,,,
DAN 101,Intro to Dance: Body & Self,Dance,,,Substantially,,,
DAN 102,Intro to Modern Dance,Dance,,,Substantially,,,
DAN 107,Intro to Jamaican Dance,Dance,,,Substantially,,Substantially,
DAN 110,Intro Dances of African Diaspo,Dance,,,Substantially,,Substantially,
DAN 200,Dance Composition I,Dance,,,Substantially,,,
DAN 210,Dance History I: Ballet,Dance,,Partially,Partially,Partially,Substantially,
DAN 212,Dance History II: Modern Dance,Dance,,Partially,Partially,Partially,Substantially,
DAN 214,20th Century Dance History,Dance,,Substantially,Partially,Substantially,Partially,
DAN 225,Anatomy & Kinesiology,Dance,,,,,,
DAN 230,Community Arts: Activism Embod,Dance,,Partially,Substantially,Partially,,
DAN 250,Dance Improvisation,Dance,,,Substantially,,,
DAN 260,Site-Specific Performance,Dance,,,Substantially,,,
DAN 300,Dance Composition II,Dance,,,Substantially,,,
DAN 305,Somatics,Dance,,,,,,Partially
DAN 314,Dance Criticism,Dance,,Substantially,Partially,Substantially,,
DAN 325,Movement Analysis: Laban,Dance,,,Partially,,,
DAN 335,Arts and Education,Dance,,,Partially,,,
DAN 432,Dance Education Seminar,Dance,,,Partially,,,Partially
DAN 460,Sr. Sem:  Adv Topics in Dance,Dance,,,Substantially,,,
DAN 910,Beginning Ballet I,Dance,,,Substantially,,,
DAN 917,Beginning Jazz,Dance,,,Substantially,,,
DAN 918,Tap Dance:Tradition&Innovation,Dance,,,Substantially,,,
DAN 920,Classical Ballet II,Dance,,,Substantially,,,
DAN 922,Contemporary Ballet II,Dance,,,Substantially,,,
DAN 925,Intermediate Modern Dance I,Dance,,,Substantially,,,
DAN 930,Advanced Classical Ballet I,Dance,,,Substantially,,,
DAN 932,Adv Contemporary Ballet I,Dance,,,Substantially,,,
DAN 935,Modern Fusion,Dance,,,Substantially,,,
DAN 937,Advanced Modern Dance II,Dance,,,Substantially,,,
DAN 940,Modern Dance II: Somatic Found,Dance,,,Substantially,,,
DAN 942,Modern Dance II: Contemporary,Dance,,,Substantially,,,
DAN 944,Mod Dance II: Performance Tech,Dance,,,Substantially,,,
DAN 945,Jazz Dance: Tradition Innovati,Dance,,,Substantially,,,
DAN 946,Modern Dance II: Diasporas,Dance,,,Substantially,,,
DAN 950,Jamaican Dance II,Dance,,,Substantially,,Substantially,
DAN 955,Dances African Diaspora II,Dance,,,Substantially,,Partially,
DAN 980,Dance Ensemble,Dance,,,Substantially,,,
DAT 900,Beginning Dance Technique,Dance,,,Substantially,,,
DAT 920,Classical Ballet II,Dance,,,Substantially,,,
DAT 922,Contemporary Ballet II,Dance,,,Substantially,,,
DAT 925,Intermediate Modern Dance I,Dance,,,Substantially,,,
DAT 930,Advanced Classical Ballet I,Dance,,,Substantially,,,
DAT 932,Adv Contemporary Ballet I,Dance,,,Substantially,,,
DAT 935,Modern Fusion,Dance,,,Substantially,,,
DAT 937,Adv Modern Dance II,Dance,,,Substantially,,,
DAT 944,Mod Dance II: Performance Tech,Dance,,,Substantially,,,
DAT 945,Jazz Dance: Tradition Innovati,Dance,,,Substantially,,,
DAT 955,Dances African Diaspora II,Dance,,,Substantially,,Partially,
DAT 980,Dance Ensemble,Dance,,,Substantially,,,
DATA 101,Introduction to Data Analytics,Hobart and William Smith,Partially,,,,,
DATA 127,Math Foundations of Data,Hobart and William Smith,Substantially,,,,,
DATA 227,Probability for Data Analytics,Hobart and William Smith,Substantially,,,,,
DATA 251,Data and Context,Hobart and William Smith,Substantially,,,,,
ECON 105,Intro to Political Economy,Economics,,Substantially,,Substantially,,Partially
ECON 120,Introduction to Economics,Economics,,Partially,,Partially,,Partially
ECON 122,Economics of Caring,Economics,,Partially,,Partially,,Substantially
ECON 135,Latin American Econ,Economics,Partially,Partially,,Partially,Substantially,
ECON 146,The Russian Economy,Economics,,Partially,,Partially,Partially,Partially
ECON 160,Principles of Economics,Economics,Partially,,,,,
ECON 196,Principles of Accounting,Economics,Substantially,,,,,
ECON 198,Business Law,Economics,,,,,,Partially
ECON 202,Statistics,Economics,Substantially,,,,,
ECON 203,Between Labor & Mgmt: Unions,Economics,,Substantially,,Substantially,,
ECON 207,Economics of Education,Economics,,Substantially,,Substantially,,
ECON 210,Economic Inequality,Economics,,Partially,,Partially,,Partially
ECON 211,"Energy, Dev. & Climate Change",Economics,Substantially,,,,,
ECON 212,Environmental Econ.,Economics,Partially,,,,,
ECON 213,Urban Economics,Economics,,Partially,,Partially,,Partially
ECON 216,Debt & the U.S. Economy,Economics,Partially,Substantially,,Substantially,,Substantially
ECON 218,Intro to Investments,Economics,Substantially,,,,,
ECON 219,Behavioral Finance,Economics,Partially,,,,,
ECON 227,Women and Int'l. Development,Economics,,Substantially,,Substantially,Substantially,
ECON 230,Hist Econ Thought,Economics,,Partially,,Partially,,Partially
ECON 233,Comparative Economics,Economics,,,,,Partially,Partially
ECON 236,Intro Radical Pol Econ,Economics,,Substantially,,Substantially,,Partially
ECON 240,International Trade,Economics,Partially,Partially,,Partially,,Partially
ECON 243,Political Econ. of Race,Economics,,Substantially,,Substantially,,Substantially
ECON 248,Poverty and Welfare,Economics,,Substantially,,Substantially,,Substantially
ECON 293,Racial Utopias,Economics,,Substantially,,Substantially,,Substantially
ECON 300,Macro.Theory & Policy,Economics,Substantially,,,,,
ECON 301,Micro. Theory & Pol.,Economics,Substantially,,,,,
ECON 302,International Trade Issues,Economics,Partially,,,,,Partially
ECON 304,Econometrics,Economics,Substantially,,,,,
ECON 305,Political Economy,Economics,,Partially,,Partially,,Substantially
ECON 307,Mathematical Economics,Economics,Substantially,,,,,
ECON 308,Corporation Finance,Economics,Substantially,,,,,
ECON 309,Portfolio Analysis,Economics,Substantially,,,,,
ECON 310,Economics and Gender,Economics,,Substantially,,Substantially,,Partially
